C++*Linux*OOP,Unknown,Full-time
Front-end*Javascript*ReactJS,Unknown,Full-time
Angular*CSS3*HTML5*Bootstrap*jQuery*JS,Unknown,Full-time
Wordpress*MySQL*HTML5*CSS3,Unknown,Full-time
Wordpress*HTML*CSS*PHP*Javascript*MySQL,Unknown,Full-time
Sql Server*Delphi*برنامه نویسی دلفی,Unknown,Full-time
CSS*Wordpress*HTML*Front-end,Unknown,Full-time
react native*Redux*ES6*Git*RestFul API,Unknown,Full-time
Java*OOP*Java Core*spring framework*Concurrency*Algorithms*Linux,Unknown,Full-time
C#*NetCore.*ASP.NET*RestFul API*Entity Framework*SQL*HTML,Unknown,Full-time
DevOps,4000000,Full-time
Front-end*CSS*HTML,Unknown,Full-time&Remote
تست نرم افزار*Test Case,Unknown,Full-time
OOP*Design Patterns*Front-end*HTML5*CSS3*Bootstrap*Angular*typescript,Unknown,Full-time
CSS*Front-end*HTML*Javascript*jQuery*Vuejs,9000000,Full-time
ربات تلگرام*PHP*برنامه نویس C,Unknown,Part-time
عملیات*noc*SQL,Unknown,Full-time
Angular*Javascript*Bootstrap*Git,Unknown,Full-time
Linux*C++,Unknown,Part-time
Full-stack*.NET Core*DDD*Git*NoSQL*OOP*WebAPI*HTML*CSS*Javascript,Unknown,Full-time
Front-end*jQuery*ASP.NET MVC*Entity Framework*Sql Server,Unknown,Full-time
Node.js*MySQL*PHP*Redis*Full-stack,Unknown,Full-time
استقرار نرم افزار*مستندسازی,Unknown,Full-time
MySQL*Redis*Node.js*PHP*Full-stack,Unknown,Full-time&Remote
Wordpress*Cpanel*woocommerce,2000000,Full-time
Node.js*MongoDB*MySQL,Unknown,Part-time
Android*Android Studio*Java,Unknown,Full-time
QA*functional*non functional*Design Patterns,9000000,Full-time
طراحی سایت*Wordpress*CSS*HTML*PHP*woocommerce*Javascript,Unknown,Full-time
ASP.NET*Sql Server*Angular*jQuery*Bootstrap*Java*C#,3000000,Full-time
Back-end*C#*OOP*ASP.NET,Unknown,Full-time
ASP.NET MVC*Entity Framework*OOP,Unknown,Full-time
Swift*IOS*RestFul API,9000000,Full-time
PHP*REST API*Laravel*MongoDB,Unknown,Full-time
توسعه نرم افزار*Docker*Design Patterns,Unknown,Full-time
Back-end*C#*ASP.NET Core*Web API*Design Patterns,9000000,Full-time
Angular*Front-end*PWA*Bootstrap,6500000,Full-time
Node.js*HTML*CSS*Front-end*Full-stack,Unknown,Full-time
Javascript*CSS3*HTML5*Angular*ReactJS,4000000,Full-time
نصب و راه‌اندازی نرم‌افزار*SQL*سیستم عامل ویندوز*سیستم اطلاعاتی,Unknown,Full-time
C#*Sql Server*OOP,Unknown,Full-time
Swift*OOP*MVVM*IOS*Design Patterns,Unknown,Full-time
PHP*HTML*CSS*Javascript*طراحی وب,Unknown,Full-time
Android*Android SDK*REST*JSON*API,Unknown,Full-time
برنامه نویسی وب*MVC*jQuery*SQL*پایگاه داده,Unknown,Full-time
PHP*Full-stack*JavaScript*jQuery*MVC*Bootstrap,Unknown,Full-time
Wordpress*woocommerce*Javascript*HTML5*CSS3,Unknown,Full-time
طراحی سایت*Wordpress,Unknown,Full-time&Remote
مدیریت فنی*Java,Unknown,Full-time
استقرار نرم افزار,Unknown,Full-time
تست نرم افزار*مستندسازی نرم افزار*Automation-Test,Unknown,Full-time
microsoft Dynamics CRM*C#.Net*ASP.NET*Entity Framework*REST API,Unknown,Full-time
تحلیل نرم افزار*تحلیل و طراحی سیستم*UML*Scrum*RUP,Unknown,Full-time
Back-end*ASP.NET*Entity Framework,Unknown,Full-time
Back-end*TSQL*RestFul API*Web API*.NET Core*C#,Unknown,Full-time
هوش مصنوعی*Python,Unknown,Part-time
Android*Java*OOP*Android SDK*SQLite,6500000,Full-time
Back-end*Nodejs*Express*RestFul API,Unknown,Full-time
Node.js*MongoDB*Redis*express.js,6500000,Full-time
کارآموزی*Android,Unknown,Full-time
construct,Unknown,Full-time
C#*Angular*.NET Core,Unknown,Full-time
UI/UX*Adobe XD*figma*zepline*تهیه گزارش*Usability*Accessibility,Unknown,Full-time
نصب نرم افزار*پایگاه داده*Javascript*Bash Scripting,Unknown,Full-time
ReactJS*ES6*ES5*Scrum*Git*REST,Unknown,Full-time
react native*ES6*Scrum*Git*React,Unknown,Full-time
.NET Core*C#*TSQL*Debugging,Unknown,Full-time
